api_name,avg_place,top4_rate,win_rate,sample_n,source
DA_18_BigGrabBag,4.477,0.5047,0.1212,1022,MOCK-NOT-REAL
DA_18_BlossomTraitAugment,4.137,0.5727,0.1410,3075,MOCK-NOT-REAL
DA_18_BranchingOut,4.809,0.4381,0.1016,1850,MOCK-NOT-REAL
DA_18_BranchingOutPlus,4.427,0.5146,0.1214,3845,MOCK-NOT-REAL
DA_18_CaretakersAlly,4.531,0.4938,0.1156,2490,MOCK-NOT-REAL
DA_18_CovenTraitAugment,4.172,0.5656,0.1455,1813,MOCK-NOT-REAL
DA_18_CovenTraitAugment_LootToAP,4.251,0.5497,0.1291,2591,MOCK-NOT-REAL
DA_18_DuoQueue,4.226,0.5547,0.1474,311,MOCK-NOT-REAL
DA_18_ElderwoodTraitAugment,4.535,0.4930,0.1298,1271,MOCK-NOT-REAL
DA_18_FOURcing,4.101,0.5799,0.1439,3602,MOCK-NOT-REAL
DA_18_FaeTraitAugment,4.285,0.5430,0.1391,4729,MOCK-NOT-REAL
DA_18_FloraFatalisAugment,4.555,0.4890,0.1284,3712,MOCK-NOT-REAL
DA_18_FloraFatalisAugmentPlus,4.526,0.4949,0.1242,4060,MOCK-NOT-REAL
DA_18_GoodForSomethingI,4.856,0.4289,0.1010,3769,MOCK-NOT-REAL
DA_18_InfernoTraitAugment,4.367,0.5266,0.1307,3570,MOCK-NOT-REAL
DA_18_LunarTraitAugment,4.199,0.5601,0.1396,1609,MOCK-NOT-REAL
DA_18_LunarTraitAugmentPlus,4.366,0.5269,0.1253,1678,MOCK-NOT-REAL
DA_18_LuxAugmentII,4.151,0.5698,0.1393,2222,MOCK-NOT-REAL
DA_18_OneTwoFive,4.882,0.4236,0.1073,1970,MOCK-NOT-REAL
DA_18_OnesTwosThree,4.720,0.4559,0.1154,884,MOCK-NOT-REAL
DA_18_PrimalAugmentPlus_Nidalee,4.230,0.5540,0.1316,473,MOCK-NOT-REAL
DA_18_PrimalAugmentPlus_Sivir,4.501,0.4998,0.1280,3640,MOCK-NOT-REAL
DA_18_PrimalAugment_Nidalee,4.192,0.5616,0.1470,4515,MOCK-NOT-REAL
DA_18_PrimalAugment_Sivir,4.557,0.4885,0.1193,850,MOCK-NOT-REAL
DA_18_ResidualMagic,4.493,0.5014,0.1167,4897,MOCK-NOT-REAL
DA_18_ResidualMagicPlus,4.526,0.4947,0.1188,1842,MOCK-NOT-REAL
DA_18_ResidualMagicPlusPlus,4.147,0.5706,0.1365,4770,MOCK-NOT-REAL
DA_18_RiftbeastTraitAugment,4.210,0.5579,0.1393,703,MOCK-NOT-REAL
DA_18_RivalsAugment,4.218,0.5564,0.1377,3823,MOCK-NOT-REAL
DA_18_SolarTraitAugment,4.178,0.5643,0.1451,409,MOCK-NOT-REAL
DA_18_SprykinAugment,4.575,0.4851,0.1272,501,MOCK-NOT-REAL
DA_18_WeightTheWorth,4.274,0.5452,0.1302,4187,MOCK-NOT-REAL
DA_18_WispRebatePlus,4.612,0.4775,0.1173,4343,MOCK-NOT-REAL
DA_18_WispRebatePlusPlus,3.995,0.6010,0.1602,2106,MOCK-NOT-REAL
DA_AdvancedLoan,4.555,0.4890,0.1192,2670,MOCK-NOT-REAL
DA_AdvancedLoanPlus,4.399,0.5202,0.1394,3291,MOCK-NOT-REAL
DA_ArcaneViktory,4.273,0.5454,0.1408,1231,MOCK-NOT-REAL
DA_Ascension,4.211,0.5578,0.1436,2686,MOCK-NOT-REAL
DA_AugmentedPower,4.831,0.4339,0.1129,1718,MOCK-NOT-REAL
DA_BacklineBlueprint,4.580,0.4840,0.1180,465,MOCK-NOT-REAL
DA_BackupBows,4.615,0.4769,0.1106,4174,MOCK-NOT-REAL
DA_BandOfThieves,4.419,0.5162,0.1297,3180,MOCK-NOT-REAL
DA_BandOfThievesII,4.486,0.5028,0.1234,3038,MOCK-NOT-REAL
DA_BandOfThievesIIPlus,4.643,0.4713,0.1269,3813,MOCK-NOT-REAL
DA_BandOfThievesIIPlusPlus,4.107,0.5786,0.1473,2915,MOCK-NOT-REAL
DA_BaronsLair,4.130,0.5739,0.1341,2247,MOCK-NOT-REAL
DA_BeltOverflow,4.349,0.5303,0.1414,3278,MOCK-NOT-REAL
DA_BirthdayPresent,4.412,0.5177,0.1216,4629,MOCK-NOT-REAL
DA_BirthdayReunion,4.483,0.5034,0.1159,496,MOCK-NOT-REAL
DA_BlackthornTraitAugment,4.173,0.5655,0.1443,4245,MOCK-NOT-REAL
DA_BodyguardTraining,4.589,0.4822,0.1269,3024,MOCK-NOT-REAL
DA_BonusGift,4.522,0.4956,0.1248,869,MOCK-NOT-REAL
DA_BonusGiftPlus,4.162,0.5676,0.1483,1972,MOCK-NOT-REAL
DA_BoosterPack,4.589,0.4822,0.1174,3633,MOCK-NOT-REAL
DA_BoosterPackPlus,4.396,0.5208,0.1347,1826,MOCK-NOT-REAL
DA_BoosterPackPlusPlus,4.206,0.5588,0.1407,4463,MOCK-NOT-REAL
DA_BoxingLessons,4.628,0.4745,0.1117,4232,MOCK-NOT-REAL
DA_BronzeForLifeI,4.808,0.4384,0.1018,4026,MOCK-NOT-REAL
DA_BronzeForLifeII,4.311,0.5378,0.1366,2484,MOCK-NOT-REAL
DA_BuildABud,4.099,0.5801,0.1468,2768,MOCK-NOT-REAL
DA_BuriedTreasuresIII,4.092,0.5817,0.1374,1953,MOCK-NOT-REAL
DA_CalculatedLoss,4.481,0.5037,0.1342,1443,MOCK-NOT-REAL
DA_CallToChaos,4.086,0.5827,0.1502,4878,MOCK-NOT-REAL
DA_CalledShot,4.821,0.4358,0.1182,2663,MOCK-NOT-REAL
DA_CapitalGainsI,4.776,0.4448,0.1017,2806,MOCK-NOT-REAL
DA_CapitalGainsII,4.535,0.4929,0.1226,2979,MOCK-NOT-REAL
DA_CaretakersFavor,4.272,0.5457,0.1332,1174,MOCK-NOT-REAL
DA_CarveAPath,4.532,0.4936,0.1318,4910,MOCK-NOT-REAL
DA_CelestialBlessingI,4.452,0.5097,0.1355,4941,MOCK-NOT-REAL
DA_CelestialBlessingII,4.274,0.5452,0.1408,2695,MOCK-NOT-REAL
DA_CelestialBlessingIII,4.219,0.5561,0.1450,3189,MOCK-NOT-REAL
DA_ChallengersGrace,4.178,0.5643,0.1389,2724,MOCK-NOT-REAL
DA_ChampDelivery,4.553,0.4895,0.1304,3673,MOCK-NOT-REAL
DA_ChampDeliveryPlus,4.437,0.5127,0.1232,788,MOCK-NOT-REAL
DA_ChampDeliveryPlusPlus,4.096,0.5807,0.1395,1618,MOCK-NOT-REAL
DA_ClearMind,4.316,0.5368,0.1327,3380,MOCK-NOT-REAL
DA_ClockworkAccelerator,4.248,0.5505,0.1333,3698,MOCK-NOT-REAL
DA_ClutteredMind,4.259,0.5482,0.1360,1393,MOCK-NOT-REAL
DA_CognitiveOverload,4.440,0.5119,0.1254,732,MOCK-NOT-REAL
DA_CognitiveTax,4.719,0.4561,0.1064,2884,MOCK-NOT-REAL
DA_CognitiveTaxPlus,4.203,0.5593,0.1353,801,MOCK-NOT-REAL
